;Fabricante;Modelo;Ano;Tipo de Combustivel;Motor HP;Nº de Cilindros;Tipo Transmissão;Tração;Nº de Portas;Categoria de Mercado;Tamanho Veículo;Estilo Veículo;KM/L Estrada;KM/L Cidade;Popularidade;Preço Sugerido Fabricante
0;BMW;1 Series M;2011;Gasolina Premium Obrigatoria;335.0;6.0;MANUAL;tracao traseira;2.0;Factory Tuner,Luxury,High-Performance;Pequeno;Cupê;11.05;8.08;3916;226673.49
1;BMW;1 Series;2011;Gasolina Premium Obrigatoria;300.0;6.0;MANUAL;tracao traseira;2.0;Luxury,Performance;Pequeno;Conversível;11.9;8.08;3916;199724.23
2;BMW;1 Series;2011;Gasolina Premium Obrigatoria;300.0;6.0;MANUAL;tracao traseira;2.0;Luxury,High-Performance;Pequeno;Cupê;11.9;8.5;3916;178597.19
3;BMW;1 Series;2011;Gasolina Premium Obrigatoria;230.0;6.0;MANUAL;tracao traseira;2.0;Luxury,Performance;Pequeno;Cupê;11.9;7.65;3916;144695.66
4;BMW;1 Series;2011;Gasolina Premium Obrigatoria;230.0;6.0;MANUAL;tracao traseira;2.0;Luxury;Pequeno;Conversível;11.9;7.65;3916;169507.65
5;BMW;1 Series;2012;Gasolina Premium Obrigatoria;230.0;6.0;MANUAL;tracao traseira;2.0;Luxury,Performance;Pequeno;Cupê;11.9;7.65;3916;153293.88
6;BMW;1 Series;2012;Gasolina Premium Obrigatoria;300.0;6.0;MANUAL;tracao traseira;2.0;Luxury,Performance;Pequeno;Conversível;11.05;7.23;3916;216675.0
7;BMW;1 Series;2012;Gasolina Premium Obrigatoria;300.0;6.0;MANUAL;tracao traseira;2.0;Luxury,High-Performance;Pequeno;Cupê;11.9;8.5;3916;193091.33
8;BMW;1 Series;2012;Gasolina Premium Obrigatoria;230.0;6.0;MANUAL;tracao traseira;2.0;Luxury;Pequeno;Conversível;11.9;7.65;3916;181299.49
9;BMW;1 Series;2013;Gasolina Premium Obrigatoria;230.0;6.0;MANUAL;tracao traseira;2.0;Luxury;Pequeno;Conversível;11.48;7.65;3916;182773.47
10;BMW;1 Series;2013;Gasolina Premium Obrigatoria;300.0;6.0;MANUAL;tracao traseira;2.0;Luxury,High-Performance;Pequeno;Cupê;11.9;8.5;3916;194565.31
11;BMW;1 Series;2013;Gasolina Premium Obrigatoria;230.0;6.0;MANUAL;tracao traseira;2.0;Luxury,Performance;Pequeno;Cupê;11.9;8.08;3916;154767.86
12;BMW;1 Series;2013;Gasolina Premium Obrigatoria;300.0;6.0;MANUAL;tracao traseira;2.0;Luxury,Performance;Pequeno;Conversível;11.9;8.08;3916;218148.98
13;BMW;1 Series;2013;Gasolina Premium Obrigatoria;230.0;6.0;MANUAL;tracao traseira;2.0;Luxury;Pequeno;Conversível;11.9;8.08;3916;182773.47
14;BMW;1 Series;2013;Gasolina Premium Obrigatoria;230.0;6.0;MANUAL;tracao traseira;2.0;Luxury,Performance;Pequeno;Cupê;11.9;8.08;3916;154767.86
15;BMW;1 Series;2013;Gasolina Premium Obrigatoria;320.0;6.0;MANUAL;tracao traseira;2.0;Luxury,High-Performance;Pequeno;Conversível;10.63;7.65;3916;237065.05
16;BMW;1 Series;2013;Gasolina Premium Obrigatoria;320.0;6.0;MANUAL;tracao traseira;2.0;Luxury,High-Performance;Pequeno;Cupê;11.9;8.5;3916;213972.7
17;Audi;100;1992;Gasolina Comum;172.0;6.0;MANUAL;tracao dianteira;4.0;Luxury;Medio;Sedã;10.2;7.23;3105;9826.53
18;Audi;100;1992;Gasolina Comum;172.0;6.0;MANUAL;tracao dianteira;4.0;Luxury;Medio;Sedã;10.2;7.23;3105;9826.53
19;Audi;100;1992;Gasolina Comum;172.0;6.0;Automático;tracao em todas as rodas;4.0;Luxury;Medio;Perua;8.5;6.8;3105;9826.53
20;Audi;100;1992;Gasolina Comum;172.0;6.0;MANUAL;tracao dianteira;4.0;Luxury;Medio;Sedã;10.2;7.23;3105;9826.53
21;Audi;100;1992;Gasolina Comum;172.0;6.0;MANUAL;tracao em todas as rodas;4.0;Luxury;Medio;Sedã;8.93;6.8;3105;9826.53
22;Audi;100;1993;Gasolina Comum;172.0;6.0;MANUAL;tracao dianteira;4.0;Luxury;Medio;Sedã;10.2;7.23;3105;9826.53
23;Audi;100;1993;Gasolina Comum;172.0;6.0;Automático;tracao em todas as rodas;4.0;Luxury;Medio;Perua;8.5;6.8;3105;9826.53
24;Audi;100;1993;Gasolina Comum;172.0;6.0;MANUAL;tracao dianteira;4.0;Luxury;Medio;Sedã;10.2;7.23;3105;9826.53
25;Audi;100;1993;Gasolina Comum;172.0;6.0;MANUAL;tracao dianteira;4.0;Luxury;Medio;Sedã;10.2;7.23;3105;9826.53
26;Audi;100;1993;Gasolina Comum;172.0;6.0;MANUAL;tracao em todas as rodas;4.0;Luxury;Medio;Sedã;8.93;6.8;3105;9826.53
27;Audi;100;1994;Gasolina Comum;172.0;6.0;Automático;tracao dianteira;4.0;Luxury;Medio;Perua;8.93;6.8;3105;9826.53
28;Audi;100;1994;Gasolina Comum;172.0;6.0;MANUAL;tracao em todas as rodas;4.0;Luxury;Medio;Sedã;9.35;6.8;3105;9826.53
29;Audi;100;1994;Gasolina Comum;172.0;6.0;MANUAL;tracao dianteira;4.0;Luxury;Medio;Sedã;9.35;7.23;3105;9826.53
30;Audi;100;1994;Gasolina Comum;172.0;6.0;Automático;tracao dianteira;4.0;Luxury;Medio;Sedã;9.35;6.8;3105;9826.53
31;Audi;100;1994;Gasolina Comum;172.0;6.0;Automático;tracao em todas as rodas;4.0;Luxury;Medio;Perua;8.93;6.8;3105;9826.53
32;FIAT;124 Spider;2017;Gasolina Premium Recomendada;160.0;4.0;MANUAL;tracao traseira;2.0;Performance;Pequeno;Conversível;14.88;11.05;819;135090.23
33;FIAT;124 Spider;2017;Gasolina Premium Recomendada;160.0;4.0;MANUAL;tracao traseira;2.0;Performance;Pequeno;Conversível;14.88;11.05;819;122807.07
